cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
81_1045180,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045181,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045188,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Corta,INVALID,INVALID,INVALID
81_1045205,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045219,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045220,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045225,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045233,INVALID,INVALID,INVALID,INVALID,INVALID,Mao,Regular,Larga,INVALID,INVALID,INVALID
81_1045244,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045254,INVALID,INVALID,INVALID,Punto Fino,INVALID,Regular,INVALID,Corta,INVALID,INVALID,INVALID
81_1045263,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045266,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045275,INVALID,INVALID,INVALID,INVALID,Crop,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1045276,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045281,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045282,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045284,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045288,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045293,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1045297,INVALID,INVALID,INVALID,INVALID,INVALID,Caja,INVALID,Corta,INVALID,INVALID,INVALID
81_1045316,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045321,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045330,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045333,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045349,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045352,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045359,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Modern slim,Larga,INVALID,INVALID,INVALID
81_1045370,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045398,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045422,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045424,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045441,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045450,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045471,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1045484,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1045486,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045489,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045496,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045501,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045538,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,INVALID,INVALID,INVALID,INVALID
81_1045540,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045576,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1045598,INVALID,INVALID,INVALID,INVALID,INVALID,Caja,INVALID,Corta,INVALID,INVALID,INVALID
81_1045601,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045623,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045625,INVALID,INVALID,INVALID,INVALID,INVALID,Smoking,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045637,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045641,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045643,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045657,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1045688,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045697,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1045704,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045719,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045729,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045734,INVALID,INVALID,INVALID,INVALID,INVALID,Mao,Regular,Larga,INVALID,INVALID,INVALID
81_1045778,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045819,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045824,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045831,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1045836,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045888,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045908,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1045912,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1045920,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045953,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1045963,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045971,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045991,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1046028,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1046051,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Larga,INVALID,INVALID,INVALID
81_1046054,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046074,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1046082,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1046111,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046114,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1046124,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Larga,INVALID,INVALID,INVALID
81_1046152,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1046155,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046160,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046164,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046180,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046183,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Larga,INVALID,INVALID,INVALID
81_1046232,INVALID,INVALID,INVALID,INVALID,INVALID,Mao,Regular,Larga,INVALID,INVALID,INVALID
81_1046238,INVALID,INVALID,INVALID,INVALID,INVALID,Caja,INVALID,Corta,INVALID,INVALID,INVALID
81_1046245,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046291,INVALID,INVALID,INVALID,INVALID,INVALID,Mao,Slim,Larga,INVALID,INVALID,INVALID
81_1046319,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046321,INVALID,INVALID,INVALID,INVALID,INVALID,Mao,Slim,Larga,INVALID,INVALID,INVALID
81_1046343,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1046352,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1046358,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1046411,INVALID,INVALID,INVALID,INVALID,INVALID,Peak Lapel,Slim,INVALID,INVALID,INVALID,INVALID
81_1046438,INVALID,INVALID,INVALID,Punto Fino,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046622,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046720,INVALID,INVALID,INVALID,INVALID,INVALID,Capucha,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046760,INVALID,INVALID,INVALID,Punto Fino,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1046766,INVALID,INVALID,INVALID,INVALID,INVALID,Capucha,INVALID,INVALID,INVALID,INVALID,INVALID
81_1046800,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1046810,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047035,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Corta,INVALID,INVALID,INVALID
81_1047077,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047132,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047139,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047157,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047168,INVALID,INVALID,INVALID,Punto Fino,INVALID,Alto/Envolvente,INVALID,Larga,INVALID,INVALID,INVALID
81_1047175,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047195,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047200,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Corta,INVALID,INVALID,INVALID
81_1047214,INVALID,INVALID,INVALID,Punto Fino,INVALID,Perkins,INVALID,Larga,INVALID,INVALID,INVALID
81_1047241,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1047246,INVALID,INVALID,INVALID,Punto Fino,INVALID,Alto/Envolvente,INVALID,Larga,INVALID,INVALID,INVALID
81_1047262,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047264,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1047285,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047326,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047329,INVALID,INVALID,INVALID,Punto Fino,INVALID,Alto/Envolvente,INVALID,Larga,INVALID,INVALID,INVALID
81_1047356,INVALID,INVALID,INVALID,Punto Fino,INVALID,Alto/Envolvente,INVALID,Larga,INVALID,INVALID,INVALID
81_1047362,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047368,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047373,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Corta,INVALID,INVALID,INVALID
81_1047398,INVALID,INVALID,INVALID,Punto Fino,INVALID,Alto/Envolvente,INVALID,Larga,INVALID,INVALID,INVALID
81_1047424,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047428,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047449,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1047466,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
81_1047482,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1047506,INVALID,INVALID,INVALID,Punto Fino,INVALID,Perkins,INVALID,Larga,INVALID,INVALID,INVALID
81_1047507,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,Larga,INVALID,INVALID,INVALID
